date,facility,production_line,shift,units_produced,defects,defect_rate,downtime_minutes,energy_kwh,labor_hours,oee_score,maintenance_cost_usd
2025-01-01,Plant_Alpha,Line_A,Morning,1298,42,0.0324,19.1,2784.1,8.0,0.707,141.75
2025-01-01,Plant_Alpha,Line_A,Afternoon,1225,42,0.0343,17.7,2602.8,7.98,0.769,174.99
2025-01-01,Plant_Alpha,Line_A,Night,1036,45,0.0434,14.9,2226.5,8.0,0.674,213.18
2025-01-01,Plant_Alpha,Line_B,Morning,1291,58,0.0449,16.7,2754.2,8.04,0.745,212.11
2025-01-01,Plant_Alpha,Line_B,Afternoon,1215,47,0.0387,14.1,2674.8,8.13,0.799,273.15
2025-01-01,Plant_Alpha,Line_B,Night,1014,30,0.0296,13.8,2239.7,7.98,0.682,243.56
2025-01-01,Plant_Alpha,Line_C,Morning,1318,57,0.0432,19.0,2762.6,7.95,0.76,282.45
2025-01-01,Plant_Alpha,Line_C,Afternoon,1216,43,0.0354,18.6,2672.3,7.98,0.748,180.97
2025-01-01,Plant_Alpha,Line_C,Night,1034,44,0.0426,12.8,2257.9,8.05,0.875,204.27
2025-01-01,Plant_Beta,Line_A,Morning,871,36,0.0413,13.2,1830.5,8.01,0.747,134.59
2025-01-01,Plant_Beta,Line_A,Afternoon,827,22,0.0266,14.0,1776.2,8.01,0.739,206.17
2025-01-01,Plant_Beta,Line_A,Night,693,27,0.039,15.4,1484.7,8.02,0.769,202.43
2025-01-01,Plant_Beta,Line_B,Morning,893,33,0.037,14.4,1860.9,7.94,0.795,181.12
2025-01-01,Plant_Beta,Line_B,Afternoon,819,29,0.0354,12.3,1734.2,7.98,0.802,207.37
2025-01-01,Plant_Beta,Line_B,Night,716,29,0.0405,15.7,1546.6,7.97,0.763,199.12
2025-01-01,Plant_Beta,Line_C,Morning,885,32,0.0362,12.9,1895.3,7.98,0.785,229.48
2025-01-01,Plant_Beta,Line_C,Afternoon,822,34,0.0414,10.5,1775.3,7.99,0.906,198.99
2025-01-01,Plant_Beta,Line_C,Night,696,22,0.0316,18.5,1503.8,7.98,0.779,234.87
2025-01-01,Plant_Gamma,Line_A,Morning,831,31,0.0373,15.7,1772.6,8.0,0.779,241.7
2025-01-01,Plant_Gamma,Line_A,Afternoon,787,26,0.033,14.4,1707.4,7.9,0.676,228.43
2025-01-01,Plant_Gamma,Line_A,Night,682,21,0.0308,15.2,1427.9,8.0,0.777,150.29
2025-01-01,Plant_Gamma,Line_B,Morning,818,30,0.0367,14.5,1751.6,8.06,0.737,182.34
2025-01-01,Plant_Gamma,Line_B,Afternoon,790,29,0.0367,17.7,1673.9,7.93,0.743,193.31
2025-01-01,Plant_Gamma,Line_B,Night,656,20,0.0305,15.0,1422.7,7.9,0.806,167.74
2025-01-01,Plant_Gamma,Line_C,Morning,837,31,0.037,15.7,1772.8,7.86,0.699,185.44
2025-01-01,Plant_Gamma,Line_C,Afternoon,789,22,0.0279,14.0,1664.0,8.01,0.763,229.49
2025-01-01,Plant_Gamma,Line_C,Night,677,26,0.0384,17.5,1432.0,8.15,0.702,182.5
2025-01-01,Plant_Delta,Line_A,Morning,877,36,0.041,15.6,1883.0,7.89,0.839,184.41
2025-01-01,Plant_Delta,Line_A,Afternoon,836,22,0.0263,15.1,1758.0,8.05,0.779,219.02
2025-01-01,Plant_Delta,Line_A,Night,691,26,0.0376,14.5,1522.2,8.07,0.769,149.35
2025-01-01,Plant_Delta,Line_B,Morning,869,47,0.0541,20.7,1796.5,7.98,0.806,191.7
2025-01-01,Plant_Delta,Line_B,Afternoon,818,31,0.0379,16.5,1745.3,8.06,0.759,173.74
2025-01-01,Plant_Delta,Line_B,Night,713,21,0.0295,13.6,1498.1,8.11,0.731,115.88
2025-01-01,Plant_Delta,Line_C,Morning,860,36,0.0419,17.9,1916.1,8.1,0.772,162.92
2025-01-01,Plant_Delta,Line_C,Afternoon,843,29,0.0344,12.9,1771.9,7.94,0.736,197.18
2025-01-01,Plant_Delta,Line_C,Night,709,25,0.0353,11.1,1477.5,8.03,0.764,175.85
2025-01-01,Plant_Epsilon,Line_A,Morning,985,39,0.0396,18.9,2110.9,8.0,0.806,165.81
2025-01-01,Plant_Epsilon,Line_A,Afternoon,942,37,0.0393,11.1,2027.5,8.02,0.789,150.26
2025-01-01,Plant_Epsilon,Line_A,Night,797,35,0.0439,21.9,1743.9,7.95,0.783,174.03
2025-01-01,Plant_Epsilon,Line_B,Morning,994,34,0.0342,9.5,2140.3,8.04,0.775,211.32
2025-01-01,Plant_Epsilon,Line_B,Afternoon,946,38,0.0402,16.7,2025.1,8.0,0.848,199.19
2025-01-01,Plant_Epsilon,Line_B,Night,802,30,0.0374,14.2,1711.3,8.01,0.736,196.1
2025-01-01,Plant_Epsilon,Line_C,Morning,982,39,0.0397,15.6,2121.5,7.93,0.791,206.06
2025-01-01,Plant_Epsilon,Line_C,Afternoon,931,39,0.0419,10.2,2057.7,7.98,0.645,212.27
2025-01-01,Plant_Epsilon,Line_C,Night,791,28,0.0354,13.4,1709.5,7.98,0.67,249.28
2025-01-01,Plant_Zeta,Line_A,Morning,1123,39,0.0347,12.1,2453.8,7.93,0.767,179.53
2025-01-01,Plant_Zeta,Line_A,Afternoon,1060,34,0.0321,12.7,2285.4,7.99,0.719,204.17
2025-01-01,Plant_Zeta,Line_A,Night,910,26,0.0286,16.1,1900.8,7.95,0.778,175.98
2025-01-01,Plant_Zeta,Line_B,Morning,1103,49,0.0444,17.8,2330.3,7.9,0.787,194.79
2025-01-01,Plant_Zeta,Line_B,Afternoon,1089,46,0.0422,14.9,2269.3,8.03,0.702,271.7
2025-01-01,Plant_Zeta,Line_B,Night,909,30,0.033,17.3,2012.9,7.97,0.786,192.35
2025-01-01,Plant_Zeta,Line_C,Morning,1121,33,0.0294,14.8,2416.0,8.08,0.67,186.27
2025-01-01,Plant_Zeta,Line_C,Afternoon,1080,39,0.0361,14.3,2260.3,7.96,0.663,173.03
2025-01-01,Plant_Zeta,Line_C,Night,890,35,0.0393,11.8,1917.0,7.95,0.763,177.98
2025-01-02,Plant_Alpha,Line_A,Morning,1268,48,0.0379,18.0,2755.0,7.99,0.756,117.35
2025-01-02,Plant_Alpha,Line_A,Afternoon,1219,45,0.0369,11.7,2600.1,8.0,0.807,241.86
2025-01-02,Plant_Alpha,Line_A,Night,1023,37,0.0362,13.1,2248.8,8.0,0.763,218.85
2025-01-02,Plant_Alpha,Line_B,Morning,1280,61,0.0477,14.9,2729.6,7.97,0.821,183.95
2025-01-02,Plant_Alpha,Line_B,Afternoon,1234,40,0.0324,12.9,2639.6,7.98,0.797,223.24
2025-01-02,Plant_Alpha,Line_B,Night,1024,38,0.0371,13.1,2250.2,8.08,0.746,218.82
2025-01-02,Plant_Alpha,Line_C,Morning,1286,49,0.0381,15.1,2720.8,8.01,0.742,164.43
